"","x"
"1","BIRMINGHAM"
"2","ATLANTA"
"3","ANCHORAGE"
"4","PHOENIX"
"5","BAKERSFIELD"
"6","ALBUQ-SANTA FE"
"7","ALBANY  GA"
"8","AUGUSTA"
"9","BOISE"
"10","BATON ROUGE"
"11","BILOXI-GULFPORT"
"12","BOWLING GREEN"
"13","ALEXANDRIA  LA"
"14","BANGOR"
"15","BALTIMORE"
"16","BOSTON (MANCHR)"
"17","ALBANY-SCH-TROY"
"18","ALPENA"
"19","BUTTE-BOZEMAN"
"20","BILLINGS"
"21","BUFFALO"
"22","BINGHAMTON"
"23","BURLNGTN-PLTBRG"
"24","AMARILLO"
"25","ODESSA-MIDLAND"
"26","AUSTIN"
"27","ABILENE-SWTWATR"
"28","BEND  OR"
"29","BLFLD-BECKLY-OH"
"30","BEAUMNT-PRT ART"
"31","COLUMBUS  GA"
"32","DOTHAN"
"33","COLUMBUS-TUP-WP"
"34","CHICO-REDDING"
"35","EUREKA"
"36","DENVER"
"37","COLO SPRNGS-PBL"
"38","CHATTANOOGA"
"39","DAVNPRT-RI-MLNE"
"40","CHAMPGN&SPR-DEC"
"41","CINCINNATI"
"42","DES MOINES-AMES"
"43","CDR RP-WA-IC&DB"
"44","CHICAGO"
"45","EVANSVILLE"
"46","DAYTON"
"47","DETROIT"
"48","DULUTH-SUPERIOR"
"49","CHARLSTN-HUNTNG"
"50","CHEY-SCTTS"
"51","COLUMBIA-JF CTY"
"52","CLEVELAND"
"53","COLUMBUS  OH"
"54","CHARLOTTE"
"55","ELMIRA"
"56","EL PASO"
"57","DALLAS-FT.WORTH"
"58","CORPUS CHRISTI"
"59","ERIE"
"60","CHARLESTON  SC"
"61","COLUMBIA  SC"
"62","EUGENE"
"63","CLARKSBURG-WSTN"
"64","CHARLOTTESVILLE"
"65","CASPER-RIVERTON"
"66","HNTVLE-DCTR(FL)"
"67","FAIRBANKS"
"68","FT SMH-FY-SP-RG"
"69","GREENWD-GREENVL"
"70","FRESNO-VISALIA"
"71","GR.JNCTN-MNTROS"
"72","HARTFRD&NW HAVN"
"73","GAINESVILLE"
"74","FT. MYERS-NAPLS"
"75","GRVL-SPA-ASH-AN"
"76","HONOLULU"
"77","IDAHO FALLS-POC"
"78","FT. WAYNE"
"79","INDIANAPOLIS"
"80","GR.RAPIDS-KL-BC"
"81","FLINT-SAGNAW-BC"
"82","FARGO-VALLY CTY"
"83","HATIESBRG-LAURL"
"84","GREEN BAY-APLTN"
"85","GREAT FALLS"
"86","HELENA"
"87","GLENDIVE"
"88","GREENSBRO-HP-WS"
"89","GREENVL-NB-WASH"
"90","FLRNCE-MRTL BCH"
"91","HOUSTON"
"92","HRLG-WSL-BRN-MA"
"93","HARRSBG-LA-LB-Y"
"94","HARRISONBURG"
"95","MONTGOMERY(SEL)"
"96","MOBILE-PNS(FWB)"
"97","MERIDIAN"
"98","JUNEAU"
"99","LITL RCK-PN BLF"
"100","MONRO-EL DORADO"
"101","JONESBORO"
"102","MEMPHIS"
"103","LOS ANGELES"
"104","MONTEREY-SALNAS"
"105","MEDFORD-KLM FLS"
"106","JACKSONVILLE"
"107","MIAMI-FT. LAUDE"
"108","MACON"
"109","JOPLIN-PITTSBRG"
"110","KANSAS CITY"
"111","LOUISVILLE"
"112","LAFAYETTE  IN"
"113","MARQUETTE"
"114","LANSING"
"115","MINEAPLS-ST. PL"
"116","LA CRSS-EAU CLR"
"117","MANKATO"
"118","JACKSON  MS"
"119","LIN&HST-KRNY"
"120","LEXINGTON"
"121","KNOXVILLE"
"122","LAFAYETTE  LA"
"123","LAKE CHARLES"
"124","MISSOULA"
"125","MINOT-BSMRK-DKN"
"126","LAS VEGAS"
"127","LIMA"
"128","JACKSON  TN"
"129","LUBBOCK"
"130","JOHNSTOWN-ALTNA"
"131","MADISON"
"132","MILWAUKEE"
"133","LAREDO"
"134","RENO"
"135","NEW YORK"
"136","PHILADELPHIA"
"137","PANAMA CITY"
"138","ORL-DYTN B-MLBN"
"139","ROCKFORD"
"140","QUINCY-HBL-KEOK"
"141","PDCH-CG-HAR-MTV"
"142","RCH-MASN CY-AUS"
"143","OMAHA"
"144","OTTUMWA-KIRKSVL"
"145","PEORIA-BLMINGTN"
"146","NEW ORLEANS"
"147","NASHVILLE"
"148","PORTLAND-AUBURN"
"149","PRESQUE ISLE"
"150","PITTSBURGH"
"151","PROVIDNC-N. BED"
"152","NORTH PLATTE"
"153","RAPID CITY"
"154","RALEIGH-DUR(FY)"
"155","NRFLK-PRT-NP NW"
"156","ROCHESTER  NY"
"157","OKLAHOMA CITY"
"158","PORTLAND  OR"
"159","PARKERSBURG"
"160","RICHMOND-PTRSBG"
"161","ROANOKE-LNCHBRG"
"162","TUCSON (S VSTA)"
"163","YUMA-EL CENTRO"
"164","SPRINGFIELD  MO"
"165","SHREVEPORT"
"166","SAN FRAN-OAK-SJ"
"167","SACRMNTO-STK-MO"
"168","SAN DIEGO"
"169","SANTABAR-SM-SLO"
"170","SALISBURY"
"171","WASH  DC (HAG)"
"172","TAMPA-ST P(SAR)"
"173","TALLHSEE-THMSVL"
"174","WEST PLM BCH-FP"
"175","SAVANNAH"
"176","SALT LAKE CITY"
"177","SPOKANE"
"178","TWIN FALLS"
"179","ST. LOUIS"
"180","SIOUX FLS(MCHL)"
"181","SIOUX CITY"
"182","WICHTA-HTCH PLS"
"183","TOPEKA"
"184","TULSA"
"185","ST. JOSEPH"
"186","TERRE HAUTE"
"187","SO. BEND-ELKHRT"
"188","TRAVRS CTY-CDLC"
"189","TOLEDO"
"190","TRI-CTIES TN-VA"
"191","SPRINGFLD-HLYOK"
"192","WHEELING-STEUB."
"193","YOUNGSTOWN"
"194","ZANESVILLE"
"195","WILMINGTON"
"196","SYRACUSE"
"197","UTICA"
"198","WATERTOWN"
"199","TYLER-LONGVIEW"
"200","WICHTA FLS&LWTN"
"201","SAN ANTONIO"
"202","WACO-TEMPL-BRYN"
"203","SAN ANGELO"
"204","WILKES BAR-SCR"
"205","SHERMAN-ADA"
"206","YAKM-PSC-RCH-KN"
"207","SEATTLE-TACOMA"
"208","WAUSAU-RHINELDR"
"209","VICTORIA"
